OrderID,CustomerID,OrderDay,CityTier,State,Category,OrderValue,DiscountPct,PaymentMethod,Device,AddressQuality,OrderHour,Items,PriorOrders,PriorReturns,DeliveryStatus
ORD100675,CUST12065,95,Tier-3,  Madhya Pradesh ,Accessories,Rs.866,12,Prepaid,Android App,Partial,3,2,1,1,Delivered
ORD105245,CUST11477,323,TIER-3,Kerala,Health,"2,426",21,Prepaid,Mobile Web,Partial,0,3,2,0,Delivered
ORD103120,CUST11387,263,Tier 3,Delhi,Fashion,"1,066",14,COD,Android App,Vague,14,1,1,1,Returned
ORD100686,CUST10164,27,TIER-2,Andhra Pradesh,Footwear,"Rs.1,190",17,COD,Android App,Complete,6,1,1,0,Delivered
ORD106240,CUST11735,144,T3,Odisha,Electronics,"Rs 3,579",26,COD,Mobile Web,Complete,10,2,1,0,Returned
ORD103646,CUST11512,171,Tier 3,Kerala,Electronics,"INR 10,579",10,COD,iOS App,Partial,7,2,1,0,Delivered
ORD105274,CUST11132,64,tier2,Tamil Nadu,Beauty,279,21%,COD,Android App,Complete,12,1,0,0,Delivered
ORD103986,CUST11263,259,Tier-1,Tamil Nadu,Beauty,"1,396",28%,COD,Mobile Web,Complete,9,1,1,0,Delivered
ORD102355,CUST10873,95,T1,Punjab,Fashion,"Rs 2,430",39,COD,Mobile Web,Complete,23,1,1,0,Delivered
ORD101892,CUST11656,330,Tier-2,RAJASTHAN,Footwear,"2,164",14%,COD,,Complete,1,3,5,1,Delivered
ORD107162,CUST10910,215,TIER-3,Delhi,Health,"1,775",34%,Prepaid,iOS App,Partial,16,1,2,0,Delivered
ORD105727,CUST12327,193,TIER-1,Gujarat,Electronics,"13,621",41,COD,Android App,Complete,12,1,2,0,Returned
ORD103335,CUST10046,344,TIER-1,Assam,Home & Kitchen,"2,241",5%,Prepaid,Mobile Web,Partial,20,2,3,0,Delivered
ORD107151,CUST10508,342,TIER-3,Odisha,Electronics,"Rs.2,887",0,COD,Android App,Partial,10,3,3,1,Delivered
ORD102763,CUST11321,49,TIER-2,Karnataka,Fashion,"2,631",22,Prepaid,Desktop,Complete,9,3,1,0,Delivered
ORD101398,CUST12235,54,tier1,maharashtra,Footwear,"1,567",13,COD,Mobile Web,Complete,16,1,0,0,Delivered
ORD100601,CUST11227,359,Tier 2,MADHYA PRADESH,Footwear,"2,028",36,Prepaid,iOS App,Partial,0,2,3,1,Delivered
ORD103265,CUST10295,147,Tier 2,bihar,Home & Kitchen,"Rs 2,502",28%,Prepaid,Android App,Complete,3,1,6,0,Delivered
ORD104512,CUST10475,246,TIER-1,Andhra Pradesh,Home & Kitchen,"2,979",20%,COD,Android App,Complete,18,1,4,0,Delivered
ORD102012,CUST10162,247,Tier-1,Maharashtra,Fashion,"Rs.1,260",32%,Prepaid,Android App,Complete,23,2,2,0,Delivered
ORD101058,CUST11545,53,T2,Rajasthan,Footwear,INR 747,21,COD,Mobile Web,Partial,3,1,1,0,Delivered
ORD104026,CUST10788,69,Tier-3,andhra pradesh,Electronics,"Rs 1,554",0%,COD,iOS App,Complete,23,3,1,0,Returned
ORD104477,CUST10154,239,TIER-3,Punjab,Footwear,"INR 2,470",5%,Prepaid,Mobile Web,Partial,21,2,0,0,Delivered
ORD103603,CUST12198,116,TIER-2,Madhya Pradesh,Footwear,"1,393",36%,COD,Android App,Complete,7,1,0,0,Returned
ORD101040,CUST11790,81,tier2,Odisha,Electronics,"Rs 11,164",13,Prepaid,Mobile Web,,3,1,0,0,Delivered
ORD102955,CUST11952,28,Tier-2,gujarat,Fashion,"1,043",24%,Prepaid,,Partial,7,1,0,0,Delivered
ORD106935,CUST10824,23,Tier-1,Madhya Pradesh,Fashion,"1,292",9,Prepaid,Android App,Complete,8,2,0,0,Delivered
ORD104552,CUST10738,71,Tier 3,TELANGANA,Beauty,Rs 289,2%,COD,iOS App,Partial,6,2,0,0,Delivered
ORD104897,CUST11261,211,T3,Odisha,Home & Kitchen,"Rs 2,581",18%,COD,Android App,Partial,21,2,2,2,Returned
ORD101202,CUST11744,139,Tier 2,Odisha,Fashion,Rs 888,25,COD,Android App,Partial,7,1,0,0,Delivered
ORD100946,CUST10598,336,tier1,Maharashtra,Accessories,"Rs 1,364",0,Prepaid,Desktop,Complete,5,1,4,0,Delivered
ORD106308,CUST11907,192,tier2,Delhi,Footwear,"INR 2,257",25,COD,Android App,Complete,6,2,1,0,Delivered
ORD101509,CUST12188,33,TIER-1,Uttar Pradesh,Footwear,"3,072",10%,Prepaid,iOS App,Complete,0,1,1,0,Delivered
ORD103638,CUST12472,266,T2,Andhra Pradesh,Fashion,915,11%,COD,Android App,Complete,11,2,2,0,Delivered
ORD106062,CUST11355,281,T1,Delhi,Electronics,"Rs.6,352",13,COD,iOS App,Complete,5,3,1,1,Delivered
ORD103431,CUST11174,136,Tier 1,andhra pradesh,Fashion,"2,089",9%,Prepaid,Android App,Complete,6,1,0,0,Delivered
ORD103376,CUST10855,218,tier1,Maharashtra,Footwear,"INR 2,427",1,Prepaid,Mobile Web,Partial,20,2,3,0,Delivered
ORD101470,CUST10627,318,tier2,MAHARASHTRA,Electronics,"10,468",39%,Prepaid,Android App,Complete,18,1,1,1,Delivered
ORD105227,CUST12115,275,Tier 2,Uttar Pradesh,Fashion,"2,801",37%,COD,Desktop,Partial,7,1,1,1,Returned
ORD104771,CUST10061,118,Tier 2,Andhra Pradesh,Fashion,"INR 2,284",19%,COD,iOS App,Complete,20,3,1,1,Delivered
ORD101516,CUST11425,234,Tier-2,Rajasthan,Fashion,919,40%,COD,Android App,Partial,11,1,0,0,Returned
ORD101308,CUST11294,51,Tier 3,GUJARAT,Footwear,"Rs.1,630",35,COD,Android App,Complete,15,1,0,0,Delivered
ORD106005,CUST11378,73,T3,Andhra Pradesh,Health,"2,229",27,Prepaid,Android App,Partial,8,3,2,0,Delivered
ORD106326,CUST12160,216,Tier 2,Karnataka,Footwear,"Rs 3,486",28,Prepaid,Android App,Vague,3,3,2,0,Delivered
ORD103334,CUST10026,259,Tier 3,Odisha,Beauty,673,46,COD,Android App,Partial,1,2,3,2,Returned
ORD103847,CUST10886,30,Tier 1,maharashtra,Fashion,"1,668",32,Prepaid,Mobile Web,Vague,14,1,0,0,Delivered
ORD104191,CUST12078,56,tier3,Punjab,Footwear,"Rs.2,721",41,Prepaid,iOS App,Vague,16,2,2,1,Delivered
ORD105784,CUST11384,300,T2,Andhra Pradesh,Fashion,"INR 2,022",13,Prepaid,Android App,Partial,17,2,1,0,Delivered
ORD107051,CUST10525,266,Tier 2,ODISHA,Fashion,617,37,Prepaid,Android App,Partial,22,3,5,0,Delivered
